DATE	WELL	QOIL	QWAT	QGAS	BHP
2012-05-11	WELL2	6449.883759	34.49422233	2230.9472	2266.661718
2012-06-11	WELL2	6719.654973	20.15916882	2253.120827	2195.420288
2012-07-12	WELL2	6813.891447	20.15916882	2196.792592	2195.420288
2012-08-12	WELL2	6484.440901	20.15916882	2261.759761	2195.420288
2012-09-12	WELL2	6635.575688	20.15916882	2199.133571	2195.420288
2012-10-13	WELL2	6604.357733	23.61817707	2292.275561	2195.420288
2012-11-13	WELL2	6215.123158	23.61817707	2347.198942	2195.420288
2012-12-14	WELL2	6251.564658	65.45297355	2313.721159	2245.484097
2013-01-13	WELL2	6472.286534	65.45297355	2203.982814	2245.484097
2013-02-12	WELL2	6820.882172	65.45297355	2212.829612	2245.484097
2013-03-14	WELL2	6507.04487	10.00920553	2287.344796	2245.484097
2013-04-13	WELL2	6286.446822	10.00920553	2297.699129	2245.484097
2013-05-13	WELL2	6785.892203	12.21942186	2354.649353	2245.484097
2013-06-12	WELL2	6679.311902	69.74343562	2301.465687	2162.027618
2013-07-12	WELL2	6179.698148	69.74343562	2343.618384	2162.027618
